serie,modele,graine,R2_oos_%,IC_spearman,sharpe_net,DM_pvalue
signal,moyenne_historique,7,-0.08039177397247688,0.0070179524430349985,0.3070795156108596,0.7186862331213116
signal,ridge,7,1.2964661365274521,0.09601962713750763,1.2421016537876617,0.0004107163195019581
signal,gradient_boosting,7,0.41448493723302837,0.08200144029727559,0.983864608477164,0.22473491439627313
signal,oracle,7,1.9761768249910605,0.11967358701400772,1.4560386763877304,5.807676460523048e-06
placebo,moyenne_historique,7,-0.07076927059594951,-0.02094019509214148,-0.003893597779822108,0.8595743805330824
placebo,ridge,7,-0.07477771104837938,-0.02488312911954807,0.07719273659799476,0.8727183146141727
placebo,gradient_boosting,7,-1.2960000841786945,0.011516112762997492,-0.15007718613103668,0.9993410276374214
signal,moyenne_historique,8,-0.01878208195587039,-0.01431879549461393,0.29580499827204054,0.5622777273459152
signal,ridge,8,1.680241809170635,0.11937575332812272,1.5550287877566662,1.7366384675865376e-06
signal,gradient_boosting,8,0.6369422430028582,0.08949739888751375,1.118290572089511,0.09133073134324532
signal,oracle,8,1.9433813319433835,0.13254839584447817,1.585818909674378,5.64634708877243e-07
placebo,moyenne_historique,8,0.006688473826554908,-0.018940143539568466,0.26722776445938046,0.4549712272849744
placebo,ridge,8,0.017145973931464997,-0.01257081152399789,0.2727912344855082,0.40492473167018184
placebo,gradient_boosting,8,-1.1509463807667375,0.0042289113698931935,-0.10754182556993902,0.9993397867848446
signal,moyenne_historique,9,-0.06471194239934253,-0.038005472820835946,0.07955472026494222,0.9180354695541485
signal,ridge,9,0.5182012309046802,0.05908671607573243,0.5908084865329449,0.010533049504134584
signal,gradient_boosting,9,-0.5504596666676242,0.03035550564542427,0.1952487077174291,0.9054995012433953
signal,oracle,9,1.2409844262201375,0.08633345051092428,1.2517020921923385,0.0006909368998008203
placebo,moyenne_historique,9,-0.045018473462232755,-0.021101148582503552,-0.1665713078375239,0.941774499782736
placebo,ridge,9,-0.14080472769149033,0.027352067039961705,0.2352149898558019,0.8154432591141914
placebo,gradient_boosting,9,-1.141903848181447,0.02862691888185305,0.1342717440029306,0.9949098836757391
